Post Character ID,Full Set Character ID,Difference (%)
p7_45,0807,9.0625
p7_46,2806,12.5
p7_47,1679,14.5
p7_48,0721,12.0625
p7_5,3672,13.0625
p7_6,0041,12.25
p7_7,3734,12.5
p7_8,0681,11.3125
p7_9,1815,15.0
p8_1,1857,15.5625
p8_10,3939,10.25
p8_11,0095,9.75
p8_12,1347,10.1875
p8_13,3527,10.5625
p8_14,3753,13.4375
p8_15,1421,11.4375
p8_16,3339,11.9375
p8_17,2159,9.5
p8_18,2587,15.4375
p8_19,3819,11.875
p8_2,2932,8.875
p8_20,2122,14.4375
p8_21,0476,14.8125
p8_22,0505,10.0625
p8_23,3753,12.0
p8_24,0095,8.8125
p8_25,1109,13.0
p8_26,0243,11.5
p8_27,0254,12.25
p8_28,3561,11.3125
p8_29,0032,10.5
p8_3,0095,9.625
p8_30,2806,13.3125
p8_31,0599,6.8125
p8_32,0032,11.5625
p8_33,3453,11.125
p8_34,2806,13.1875
p8_35,2159,10.5
p8_36,1751,11.75
p8_37,0015,9.9375
p8_38,2746,16.0625
p8_39,2806,14.625
p8_4,1347,11.5625
p8_40,3939,8.75
p8_41,0095,8.375
p8_42,0448,13.5
p8_43,1347,11.75
p8_44,3204,11.1875
p8_45,3753,14.5625
p8_5,3784,21.1875
p8_6,3753,11.625
p8_7,0681,11.25
p8_8,0049,15.5625
p8_9,0052,11.0625
p9_1,1126,12.1875
p9_10,3519,13.25
p9_11,3338,10.125
p9_12,2403,14.4375
p9_13,2594,13.875
p9_14,2159,10.625
p9_15,0781,12.125
p9_16,3219,11.625
p9_17,2794,10.6875
p9_18,2780,10.8125
p9_19,1857,15.875
p9_2,1815,16.4375
p9_20,0681,10.0
p9_21,3324,11.125
p9_22,3223,7.75
p9_23,0681,12.4375
p9_24,3563,11.375
p9_25,3993,7.9375
p9_26,2534,15.875
p9_27,3753,12.0
p9_28,0041,12.8125
p9_29,1877,8.3125
p9_3,3835,12.9375
p9_30,2485,13.4375
p9_31,1447,10.25
p9_32,1430,9.5625
p9_33,0243,9.1875
p9_34,0276,4.5
p9_35,3819,7.75
p9_36,2257,10.6875
p9_37,1347,11.125
p9_38,0253,11.4375
p9_39,2884,9.5625
p9_4,2399,13.1875
p9_40,3107,12.6875
p9_41,3939,14.75
p9_42,0095,9.0
p9_43,3519,10.9375
p9_44,2987,10.5
p9_45,1243,10.1875
p9_46,0681,11.0
p9_47,3563,15.75
p9_48,0095,7.875
p9_49,1272,14.875
p9_5,1545,15.875
p9_50,3474,13.5625
p9_51,0933,9.75
p9_52,1430,9.625
p9_53,2710,15.25
p9_54,3993,8.5625
p9_55,1347,9.4375
p9_56,0253,10.75
p9_57,0781,10.125
p9_58,3225,13.625
p9_59,3529,14.8125
p9_6,2710,17.6875
p9_60,0476,11.75
p9_61,0089,11.8125
p9_62,2865,10.375
p9_63,3261,9.4375
p9_64,2139,9.375
p9_65,0781,9.375
p9_66,1239,9.0
p9_67,0243,12.875
p9_68,2619,12.625
p9_69,1883,11.6875
p9_7,3519,10.375
p9_70,0833,15.0
p9_71,2107,17.3125
p9_8,3939,9.5
p9_9,3993,9.3125
phone1_1,2710,12.625
phone1_10,1717,11.3125
phone1_100,2034,11.25
phone1_11,3209,11.9375
phone1_12,2005,9.4375
phone1_13,2669,14.1875
phone1_14,0067,9.0625
phone1_15,2109,12.4375
phone1_16,3993,9.0
phone1_17,3994,14.0
phone1_18,0762,9.4375
phone1_19,0576,9.0625
phone1_2,1309,12.625
phone1_20,1044,12.75
phone1_21,2402,10.3125
phone1_22,1242,12.9375
phone1_23,3558,10.875
phone1_24,2451,17.3125
phone1_25,0426,15.125
phone1_26,1613,5.75
phone1_27,2283,7.0
phone1_28,1965,9.8125
phone1_29,3211,10.1875
phone1_3,2764,11.125
phone1_30,2059,14.1875
phone1_31,1419,16.0625
phone1_32,0718,16.5
phone1_33,0630,17.3125
phone1_34,1256,9.125
phone1_35,3939,11.375
phone1_36,2202,9.5625
phone1_37,0383,9.625
phone1_38,3970,15.4375
phone1_39,0357,12.3125
phone1_4,1265,10.4375
phone1_40,2455,14.6875
phone1_41,1022,9.1875
phone1_42,2745,12.5625
phone1_43,0776,13.0625
phone1_44,0278,11.75
phone1_45,2323,13.4375
phone1_46,0778,18.0
phone1_47,0828,10.75
phone1_48,1302,16.125
phone1_49,2672,11.5625
phone1_5,0108,8.875
phone1_50,2316,8.6875
phone1_51,2518,11.375
phone1_52,0803,11.0625
phone1_53,1998,13.375
phone1_54,0862,15.875
phone1_55,2608,15.125
phone1_56,2487,10.5
phone1_57,4006,13.375
phone1_58,2017,14.8125
phone1_59,3365,11.3125
phone1_6,3647,14.1875
phone1_60,2531,9.0625
phone1_61,3663,16.5625
phone1_62,1781,7.25
phone1_63,2971,13.5625
phone1_64,0016,13.125
phone1_65,0089,10.0625
phone1_66,0855,6.125
phone1_67,1366,14.3125
phone1_68,1327,15.875
phone1_69,3817,11.3125
phone1_7,2813,12.0
phone1_70,1699,12.875
phone1_71,2180,13.0
phone1_72,2219,18.4375
phone1_73,2269,7.875
phone1_74,2806,13.3125
phone1_75,0052,10.5
phone1_76,2462,10.75
phone1_77,2092,13.6875
phone1_78,2883,11.8125
phone1_79,1430,9.375
phone1_8,2078,9.375
phone1_80,0095,8.5
phone1_81,3497,14.4375
phone1_82,0275,13.0625
phone1_83,0238,15.5625
phone1_84,1754,19.0
phone1_85,3474,16.1875
phone1_86,0741,16.8125
phone1_87,1868,16.3125
